literal_occurrences,exact_native_value_match,match_note,source,rule_id,selector,property,value,important,conditions,page_candidates,native_style,component_candidates,status,candidate_mapping_status
13,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/resources/2ae2f8951fc8-dentvitalis33.shared.f8a4284a1.css,css-52d05cc536c0,.nav-link:hover,opacity,1,False,[],"[""/condizioni-di-utilizzo"", ""/informativa-sulla-privacy"", ""/informazioni-per-pazienti"", ""/chi-siamo"", ""/prestazioni-dentali"", ""/informazioni/trasporto"", ""/informazioni/alloggio"", ""/testimonianze"", ""/contatti"", ""/faq"", ""/domande-e-risposte"", ""/informazioni/listino-prezzi"", ""/informazioni/garanzie"", ""/informazioni/pagamento-flessibile"", ""/informazioni/tempi-del-trattamento"", ""/informazioni/prima-visita-gratuita"", ""/prestazioni/sedazione-cosciente"", ""/su-di-noi/impianti-di-nuova-generazione"", ""/su-di-noi/materiali-e-apparecchiature"", ""/su-di-noi/laboratorio-odontotecnico"", ""/su-di-noi/come-raggiungerci"", ""/su-di-noi/tutto-in-un-unico-luogo"", ""/su-di-noi/i-nostri-specialisti"", ""/prestazioni/corone-faccette-ponti-e-protesi"", ""/prestazioni/sbiancamento-dei-denti"", ""/prestazioni/premium-ponte-fisso-su-impianti"", ""/prestazioni/protesi-definitiva-ancorata-su-4-impianti"", ""/""]",[],[],extracted,derived
13,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/resources/2ae2f8951fc8-dentvitalis33.shared.f8a4284a1.css,css-95e8865fadb6,.podloga,opacity,1,False,[],"[""/condizioni-di-utilizzo"", ""/informativa-sulla-privacy"", ""/informazioni-per-pazienti"", ""/chi-siamo"", ""/prestazioni-dentali"", ""/informazioni/trasporto"", ""/informazioni/alloggio"", ""/testimonianze"", ""/contatti"", ""/faq"", ""/domande-e-risposte"", ""/informazioni/listino-prezzi"", ""/informazioni/garanzie"", ""/informazioni/pagamento-flessibile"", ""/informazioni/tempi-del-trattamento"", ""/informazioni/prima-visita-gratuita"", ""/prestazioni/sedazione-cosciente"", ""/su-di-noi/impianti-di-nuova-generazione"", ""/su-di-noi/materiali-e-apparecchiature"", ""/su-di-noi/laboratorio-odontotecnico"", ""/su-di-noi/come-raggiungerci"", ""/su-di-noi/tutto-in-un-unico-luogo"", ""/su-di-noi/i-nostri-specialisti"", ""/prestazioni/corone-faccette-ponti-e-protesi"", ""/prestazioni/sbiancamento-dei-denti"", ""/prestazioni/premium-ponte-fisso-su-impianti"", ""/prestazioni/protesi-definitiva-ancorata-su-4-impianti"", ""/""]","[{""id"": ""438b381f-e438-e2d8-5f35-a7a91491adb2"", ""name"": ""podloga"", ""isComboClass"": false}]","[{""id"": ""1b710e68-38ef-1a3b-db46-5efe98f74ee5"", ""name"": ""Fiksni kontakti mobile""}]",extracted,derived
2,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/inline/695e1eeeb10c5fb8eeaba87c-style-10.css,css-bc1fb2c63f08,".detaljna-tekst .sadrzaji-usluge,
  .detaljna-tekst .sadrzaji-usluge .prednost",transform,none,True,"[""screen and (max-width: 767px)""]","[""/prestazioni/protesi-definitiva-ancorata-su-4-impianti"", ""/prestazioni/premium-ponte-fisso-su-impianti"", ""/prestazioni/sbiancamento-dei-denti"", ""/prestazioni/corone-faccette-ponti-e-protesi""]",[],[],extracted,derived
2,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/resources/2ae2f8951fc8-dentvitalis33.shared.f8a4284a1.css,css-19e8f279adb9,.w-webflow-badge,transform,none,True,[],[],[],[],extracted,derived
54,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/inline/695e1eeeb10c5fb8eeaba87c-style-11.css,css-f0f2fcb0cc9b,.footer .dv-footer-legal-links,align-items,flex-start,True,[],"[""/"", ""/prestazioni/protesi-definitiva-ancorata-su-4-impianti"", ""/prestazioni/premium-ponte-fisso-su-impianti"", ""/prestazioni/sbiancamento-dei-denti"", ""/prestazioni/corone-faccette-ponti-e-protesi"", ""/su-di-noi/i-nostri-specialisti"", ""/su-di-noi/tutto-in-un-unico-luogo"", ""/su-di-noi/come-raggiungerci"", ""/su-di-noi/laboratorio-odontotecnico"", ""/su-di-noi/materiali-e-apparecchiature"", ""/su-di-noi/impianti-di-nuova-generazione"", ""/prestazioni/sedazione-cosciente"", ""/informazioni/prima-visita-gratuita"", ""/informazioni/tempi-del-trattamento"", ""/informazioni/pagamento-flessibile"", ""/informazioni/garanzie"", ""/informazioni/listino-prezzi"", ""/domande-e-risposte"", ""/faq"", ""/contatti"", ""/testimonianze"", ""/informazioni/alloggio"", ""/informazioni/trasporto"", ""/chi-siamo"", ""/prestazioni-dentali"", ""/informazioni-per-pazienti"", ""/condizioni-di-utilizzo"", ""/informativa-sulla-privacy""]",[],[],extracted,derived
54,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/inline/695e1eeeb10c5fb8eeaba87c-style-18.css,css-79008899dfb6,.dv-file-upload .w-file-upload-default,align-items,flex-start,True,"[""screen and (max-width: 767px)""]","[""/"", ""/prestazioni/protesi-definitiva-ancorata-su-4-impianti"", ""/prestazioni/premium-ponte-fisso-su-impianti"", ""/prestazioni/sbiancamento-dei-denti"", ""/prestazioni/corone-faccette-ponti-e-protesi"", ""/su-di-noi/i-nostri-specialisti"", ""/su-di-noi/tutto-in-un-unico-luogo"", ""/su-di-noi/come-raggiungerci"", ""/su-di-noi/laboratorio-odontotecnico"", ""/su-di-noi/materiali-e-apparecchiature"", ""/su-di-noi/impianti-di-nuova-generazione"", ""/prestazioni/sedazione-cosciente"", ""/informazioni/prima-visita-gratuita"", ""/informazioni/tempi-del-trattamento"", ""/informazioni/pagamento-flessibile"", ""/informazioni/garanzie"", ""/informazioni/listino-prezzi"", ""/domande-e-risposte"", ""/faq"", ""/contatti"", ""/testimonianze"", ""/informazioni/alloggio"", ""/informazioni/trasporto"", ""/chi-siamo"", ""/prestazioni-dentali"", ""/informazioni-per-pazienti"", ""/condizioni-di-utilizzo"", ""/informativa-sulla-privacy""]",[],[],extracted,derived
54,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/inline/695e1eeeb10c5fb8eeaba87c-style-28.css,css-3a1504d141da,#dv-inquiry-modal [data-dv-privacy] .w-checkbox,align-items,flex-start,False,[],[],[],[],extracted,derived
54,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/inline/695e1eeeb10c5fb8eeaba87c-style-28.css,css-943aef0da21e,#dv-inquiry-modal,align-items,flex-start,False,"[""(max-width: 767px)""]",[],[],[],extracted,derived
54,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/inline/695e1eeeb10c5fb8eeaba87c-style-28.css,css-59ccea85edd2,.dv-native-form [data-dv-privacy] .w-checkbox,align-items,flex-start,False,[],[],[],[],extracted,derived
54,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/inline/695e1eeeb10c5fb8eeaba87c-style-28.css,css-2e4e69186ab6,#dv-inquiry-modal .dv-native-form .dv-file-label,align-items,flex-start,False,"[""(max-width: 359px)""]",[],[],[],extracted,derived
54,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/resources/2ae2f8951fc8-dentvitalis33.shared.f8a4284a1.css,css-4c73d987b8b9,.footer,align-items,flex-start,False,[],"[""/condizioni-di-utilizzo"", ""/informativa-sulla-privacy"", ""/informazioni-per-pazienti"", ""/chi-siamo"", ""/prestazioni-dentali"", ""/informazioni/trasporto"", ""/informazioni/alloggio"", ""/testimonianze"", ""/contatti"", ""/faq"", ""/domande-e-risposte"", ""/informazioni/listino-prezzi"", ""/informazioni/garanzie"", ""/informazioni/pagamento-flessibile"", ""/informazioni/tempi-del-trattamento"", ""/informazioni/prima-visita-gratuita"", ""/prestazioni/sedazione-cosciente"", ""/su-di-noi/impianti-di-nuova-generazione"", ""/su-di-noi/materiali-e-apparecchiature"", ""/su-di-noi/laboratorio-odontotecnico"", ""/su-di-noi/come-raggiungerci"", ""/su-di-noi/tutto-in-un-unico-luogo"", ""/su-di-noi/i-nostri-specialisti"", ""/prestazioni/corone-faccette-ponti-e-protesi"", ""/prestazioni/sbiancamento-dei-denti"", ""/prestazioni/premium-ponte-fisso-su-impianti"", ""/prestazioni/protesi-definitiva-ancorata-su-4-impianti"", ""/""]","[{""id"": ""e6e85a02-c3d6-08eb-5df3-a2c1c099f200"", ""name"": ""Footer"", ""isComboClass"": false}]","[{""id"": ""cdb4010a-fc4d-930a-8493-bc7524d3344d"", ""name"": ""Footer""}]",extracted,derived
54,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/resources/2ae2f8951fc8-dentvitalis33.shared.f8a4284a1.css,css-e5d0fbbf0a13,.nav-dropdown-link-wrapper,align-items,flex-start,False,[],"[""/condizioni-di-utilizzo"", ""/informativa-sulla-privacy"", ""/informazioni-per-pazienti"", ""/chi-siamo"", ""/prestazioni-dentali"", ""/informazioni/trasporto"", ""/informazioni/alloggio"", ""/testimonianze"", ""/contatti"", ""/faq"", ""/domande-e-risposte"", ""/informazioni/listino-prezzi"", ""/informazioni/garanzie"", ""/informazioni/pagamento-flessibile"", ""/informazioni/tempi-del-trattamento"", ""/informazioni/prima-visita-gratuita"", ""/prestazioni/sedazione-cosciente"", ""/su-di-noi/impianti-di-nuova-generazione"", ""/su-di-noi/materiali-e-apparecchiature"", ""/su-di-noi/laboratorio-odontotecnico"", ""/su-di-noi/come-raggiungerci"", ""/su-di-noi/tutto-in-un-unico-luogo"", ""/su-di-noi/i-nostri-specialisti"", ""/prestazioni/corone-faccette-ponti-e-protesi"", ""/prestazioni/sbiancamento-dei-denti"", ""/prestazioni/premium-ponte-fisso-su-impianti"", ""/prestazioni/protesi-definitiva-ancorata-su-4-impianti"", ""/""]","[{""id"": ""e6e85a02-c3d6-08eb-5df3-a2c1c099f216"", ""name"": ""Nav Dropdown Link Wrapper"", ""isComboClass"": false}]","[{""id"": ""82b2ce1d-fc74-8408-a46c-893c2f6ef824"", ""name"": ""navigacija""}]",extracted,derived
54,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/resources/2ae2f8951fc8-dentvitalis33.shared.f8a4284a1.css,css-a87c9d51e050,.container-wrapper,align-items,flex-start,False,[],"[""/""]","[{""id"": ""e6e85a02-c3d6-08eb-5df3-a2c1c099f241"", ""name"": ""Container Wrapper"", ""isComboClass"": false}]","[{""id"": ""587b085b-0eb5-6f0e-763d-212fecd904e0"", ""name"": ""Section Benvenuti""}, {""id"": ""c5b4d3d6-9300-613f-7c22-f4b3d5b0c351"", ""name"": ""Section Testimonianze""}]",extracted,derived
54,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/resources/2ae2f8951fc8-dentvitalis33.shared.f8a4284a1.css,css-0e53b2595732,.banner-text,align-items,flex-start,False,[],"[""/""]","[{""id"": ""e96a301d-b5bb-6a9a-a2ae-4466c07ae187"", ""name"": ""Banner Text"", ""isComboClass"": false}]",[],extracted,derived
54,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/resources/2ae2f8951fc8-dentvitalis33.shared.f8a4284a1.css,css-db15c49a0aca,.tekst-u-kartici,align-items,flex-start,False,[],[],"[{""id"": ""8c6cb48f-c970-c747-49b1-caf68c1f90d8"", ""name"": ""Tekst-u-kartici"", ""isComboClass"": false}]",[],extracted,derived
54,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/resources/2ae2f8951fc8-dentvitalis33.shared.f8a4284a1.css,css-6abe41be17d5,.tekst-kartica.hero,align-items,flex-start,False,[],"[""/""]","[{""id"": ""0f13301e-eaf8-726a-e1b0-ab3a8afce016"", ""name"": ""hero"", ""isComboClass"": true}]",[],extracted,derived
54,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/resources/2ae2f8951fc8-dentvitalis33.shared.f8a4284a1.css,css-d38f2f2b0a23,.section-heading-wrapper,align-items,flex-start,False,[],"[""/""]","[{""id"": ""36f7768b-e51f-bf95-9387-fa0be8ed6bf7"", ""name"": ""Section Heading Wrapper"", ""isComboClass"": false}]","[{""id"": ""587b085b-0eb5-6f0e-763d-212fecd904e0"", ""name"": ""Section Benvenuti""}, {""id"": ""c5b4d3d6-9300-613f-7c22-f4b3d5b0c351"", ""name"": ""Section Testimonianze""}]",extracted,derived
54,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/resources/2ae2f8951fc8-dentvitalis33.shared.f8a4284a1.css,css-05adf9b13db2,.container-wrapper-list,align-items,flex-start,False,[],"[""/""]","[{""id"": ""ef0f789e-27c6-4ba8-0a82-1b75d11b17fd"", ""name"": ""Container Wrapper list"", ""isComboClass"": false}]","[{""id"": ""4e75e80f-18e3-7eb0-519d-3b33dc5a3c5c"", ""name"": ""Section Informazioni""}, {""id"": ""6f3fc695-721c-243a-39ea-1ec76ea081e5"", ""name"": ""Section usluge""}]",extracted,derived
54,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/resources/2ae2f8951fc8-dentvitalis33.shared.f8a4284a1.css,css-140b67485a25,.home-service-card,align-items,flex-start,False,[],"[""/prestazioni/corone-faccette-ponti-e-protesi"", ""/prestazioni/sbiancamento-dei-denti"", ""/prestazioni/premium-ponte-fisso-su-impianti"", ""/prestazioni/protesi-definitiva-ancorata-su-4-impianti"", ""/""]","[{""id"": ""ef0f789e-27c6-4ba8-0a82-1b75d11b17fe"", ""name"": ""Home Service Card"", ""isComboClass"": false}]","[{""id"": ""4e75e80f-18e3-7eb0-519d-3b33dc5a3c5c"", ""name"": ""Section Informazioni""}, {""id"": ""11f7cd79-d19d-6f76-04ff-ce57e5706c5a"", ""name"": ""kartica Premium: ponte fisso su impianti""}, {""id"": ""9db036bc-9bac-25ca-e571-158aa48dd517"", ""name"": ""kartica Facilissimo: sbiancamento dei denti""}, {""id"": ""1d7ffbd5-8dbd-bf93-8a74-9fdeb3200f80"", ""name"": ""kartica Corone, faccette, ponti e protesi""}, {""id"": ""d430cc2c-555c-6d7a-ff18-8922771fa88e"", ""name"": ""kartica Imperdibile: protesi definitiva ancorata su 4 impianti""}, {""id"": ""80120cd6-e65f-28c3-91c4-db8ef46ae663"", ""name"": ""kartica Sedazione cosciente""}]",extracted,derived
54,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/resources/2ae2f8951fc8-dentvitalis33.shared.f8a4284a1.css,css-dfdd8f663ea8,.container-wrapper-2,align-items,flex-start,False,[],"[""/informazioni/trasporto"", ""/informazioni/alloggio"", ""/testimonianze"", ""/contatti"", ""/faq"", ""/domande-e-risposte"", ""/informazioni/listino-prezzi"", ""/informazioni/garanzie"", ""/informazioni/pagamento-flessibile"", ""/informazioni/tempi-del-trattamento"", ""/informazioni/prima-visita-gratuita"", ""/prestazioni/sedazione-cosciente"", ""/su-di-noi/impianti-di-nuova-generazione"", ""/su-di-noi/materiali-e-apparecchiature"", ""/su-di-noi/laboratorio-odontotecnico"", ""/su-di-noi/come-raggiungerci"", ""/su-di-noi/tutto-in-un-unico-luogo"", ""/su-di-noi/i-nostri-specialisti"", ""/""]","[{""id"": ""3c5ecdfd-5e70-af9e-a35f-ba39ce3bdc99"", ""name"": ""Container Wrapper 2"", ""isComboClass"": false}]","[{""id"": ""48eb149b-bbbd-805c-69ed-1266a634337f"", ""name"": ""Section Tradizione""}, {""id"": ""c5b4d3d6-9300-613f-7c22-f4b3d5b0c351"", ""name"": ""Section Testimonianze""}, {""id"": ""4e75e80f-18e3-7eb0-519d-3b33dc5a3c5c"", ""name"": ""Section Informazioni""}, {""id"": ""2218f1d9-b81b-56c5-3884-620b224831a9"", ""name"": ""Section FAQ""}]",extracted,derived
54,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/resources/2ae2f8951fc8-dentvitalis33.shared.f8a4284a1.css,css-4ad87d9b9f8d,.home-2-fag-grid-cell,align-items,flex-start,False,[],"[""/""]","[{""id"": ""571b4f22-06fa-4499-f6d0-cb8f5ffe0c73"", ""name"": ""Home 2 FAG Grid Cell"", ""isComboClass"": false}]","[{""id"": ""2218f1d9-b81b-56c5-3884-620b224831a9"", ""name"": ""Section FAQ""}]",extracted,derived
54,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/resources/2ae2f8951fc8-dentvitalis33.shared.f8a4284a1.css,css-aff7eb76a16d,.container-wrapper-3,align-items,flex-start,False,[],"[""/condizioni-di-utilizzo"", ""/informativa-sulla-privacy"", ""/informazioni-per-pazienti"", ""/chi-siamo"", ""/prestazioni-dentali"", ""/informazioni/trasporto"", ""/informazioni/alloggio"", ""/testimonianze"", ""/contatti"", ""/faq"", ""/domande-e-risposte"", ""/informazioni/listino-prezzi"", ""/informazioni/garanzie"", ""/informazioni/pagamento-flessibile"", ""/informazioni/tempi-del-trattamento"", ""/informazioni/prima-visita-gratuita"", ""/prestazioni/sedazione-cosciente"", ""/su-di-noi/impianti-di-nuova-generazione"", ""/su-di-noi/materiali-e-apparecchiature"", ""/su-di-noi/laboratorio-odontotecnico"", ""/su-di-noi/come-raggiungerci"", ""/su-di-noi/tutto-in-un-unico-luogo"", ""/su-di-noi/i-nostri-specialisti"", ""/prestazioni/corone-faccette-ponti-e-protesi"", ""/prestazioni/sbiancamento-dei-denti"", ""/prestazioni/premium-ponte-fisso-su-impianti"", ""/prestazioni/protesi-definitiva-ancorata-su-4-impianti"", ""/""]","[{""id"": ""571b4f22-06fa-4499-f6d0-cb8f5ffe0c7e"", ""name"": ""Container Wrapper 3"", ""isComboClass"": false}]","[{""id"": ""2218f1d9-b81b-56c5-3884-620b224831a9"", ""name"": ""Section FAQ""}, {""id"": ""b3f8e1d2-757e-d6a0-6dbb-b11ab1a23dc2"", ""name"": ""Section Contatti""}]",extracted,derived
54,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/resources/2ae2f8951fc8-dentvitalis33.shared.f8a4284a1.css,css-990346ed6efa,.footer-content,align-items,flex-start,False,[],"[""/condizioni-di-utilizzo"", ""/informativa-sulla-privacy"", ""/informazioni-per-pazienti"", ""/chi-siamo"", ""/prestazioni-dentali"", ""/informazioni/trasporto"", ""/informazioni/alloggio"", ""/testimonianze"", ""/contatti"", ""/faq"", ""/domande-e-risposte"", ""/informazioni/listino-prezzi"", ""/informazioni/garanzie"", ""/informazioni/pagamento-flessibile"", ""/informazioni/tempi-del-trattamento"", ""/informazioni/prima-visita-gratuita"", ""/prestazioni/sedazione-cosciente"", ""/su-di-noi/impianti-di-nuova-generazione"", ""/su-di-noi/materiali-e-apparecchiature"", ""/su-di-noi/laboratorio-odontotecnico"", ""/su-di-noi/come-raggiungerci"", ""/su-di-noi/tutto-in-un-unico-luogo"", ""/su-di-noi/i-nostri-specialisti"", ""/prestazioni/corone-faccette-ponti-e-protesi"", ""/prestazioni/sbiancamento-dei-denti"", ""/prestazioni/premium-ponte-fisso-su-impianti"", ""/prestazioni/protesi-definitiva-ancorata-su-4-impianti"", ""/""]","[{""id"": ""9e54e6e5-a3e8-624b-edfe-856c1cd54fab"", ""name"": ""Footer Content"", ""isComboClass"": false}]","[{""id"": ""cdb4010a-fc4d-930a-8493-bc7524d3344d"", ""name"": ""Footer""}]",extracted,derived
54,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/resources/2ae2f8951fc8-dentvitalis33.shared.f8a4284a1.css,css-c28938e3f949,.footer-block,align-items,flex-start,False,[],"[""/condizioni-di-utilizzo"", ""/informativa-sulla-privacy"", ""/informazioni-per-pazienti"", ""/chi-siamo"", ""/prestazioni-dentali"", ""/informazioni/trasporto"", ""/informazioni/alloggio"", ""/testimonianze"", ""/contatti"", ""/faq"", ""/domande-e-risposte"", ""/informazioni/listino-prezzi"", ""/informazioni/garanzie"", ""/informazioni/pagamento-flessibile"", ""/informazioni/tempi-del-trattamento"", ""/informazioni/prima-visita-gratuita"", ""/prestazioni/sedazione-cosciente"", ""/su-di-noi/impianti-di-nuova-generazione"", ""/su-di-noi/materiali-e-apparecchiature"", ""/su-di-noi/laboratorio-odontotecnico"", ""/su-di-noi/come-raggiungerci"", ""/su-di-noi/tutto-in-un-unico-luogo"", ""/su-di-noi/i-nostri-specialisti"", ""/prestazioni/corone-faccette-ponti-e-protesi"", ""/prestazioni/sbiancamento-dei-denti"", ""/prestazioni/premium-ponte-fisso-su-impianti"", ""/prestazioni/protesi-definitiva-ancorata-su-4-impianti"", ""/""]","[{""id"": ""9e54e6e5-a3e8-624b-edfe-856c1cd54fac"", ""name"": ""Footer Block"", ""isComboClass"": false}]","[{""id"": ""cdb4010a-fc4d-930a-8493-bc7524d3344d"", ""name"": ""Footer""}]",extracted,derived
54,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/resources/2ae2f8951fc8-dentvitalis33.shared.f8a4284a1.css,css-9673a4787cdc,.banner-card-2,align-items,flex-start,False,[],"[""/""]","[{""id"": ""56ae43c9-7ef2-332e-0823-017bd0b55f93"", ""name"": ""Banner Card 2"", ""isComboClass"": false}]",[],extracted,derived
54,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/resources/2ae2f8951fc8-dentvitalis33.shared.f8a4284a1.css,css-4204b1f0cafb,.inner-banner-text-wrap.career-collection-list-wrapper,align-items,flex-start,False,[],"[""/condizioni-di-utilizzo"", ""/informativa-sulla-privacy"", ""/informazioni-per-pazienti"", ""/chi-siamo"", ""/prestazioni-dentali"", ""/informazioni/trasporto"", ""/informazioni/alloggio"", ""/testimonianze"", ""/contatti"", ""/faq"", ""/domande-e-risposte"", ""/informazioni/listino-prezzi"", ""/informazioni/garanzie"", ""/informazioni/pagamento-flessibile"", ""/informazioni/tempi-del-trattamento"", ""/informazioni/prima-visita-gratuita"", ""/prestazioni/sedazione-cosciente"", ""/su-di-noi/impianti-di-nuova-generazione"", ""/su-di-noi/materiali-e-apparecchiature"", ""/su-di-noi/laboratorio-odontotecnico"", ""/su-di-noi/come-raggiungerci"", ""/su-di-noi/tutto-in-un-unico-luogo"", ""/su-di-noi/i-nostri-specialisti"", ""/prestazioni/corone-faccette-ponti-e-protesi"", ""/prestazioni/sbiancamento-dei-denti"", ""/prestazioni/premium-ponte-fisso-su-impianti"", ""/prestazioni/protesi-definitiva-ancorata-su-4-impianti""]","[{""id"": ""b1559687-d937-10db-df32-9aea39ac7ae7"", ""name"": ""Career Collection List Wrapper"", ""isComboClass"": true}]","[{""id"": ""9451505b-5015-c534-40e8-5413c82b759b"", ""name"": ""Zaglavlje detaljna""}]",extracted,derived
54,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/resources/2ae2f8951fc8-dentvitalis33.shared.f8a4284a1.css,css-f283ebc87b80,.sadrzaji-usluge,align-items,flex-start,False,[],"[""/prestazioni/corone-faccette-ponti-e-protesi"", ""/prestazioni/sbiancamento-dei-denti"", ""/prestazioni/premium-ponte-fisso-su-impianti"", ""/prestazioni/protesi-definitiva-ancorata-su-4-impianti""]","[{""id"": ""7bb17448-1b6f-a392-dde0-c79a43dcde52"", ""name"": ""Sadrzaji usluge"", ""isComboClass"": false}]",[],extracted,derived
54,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/resources/2ae2f8951fc8-dentvitalis33.shared.f8a4284a1.css,css-d50a7582e9b1,.container-wrapper-list-detail,align-items,flex-start,False,[],"[""/prestazioni/corone-faccette-ponti-e-protesi"", ""/prestazioni/sbiancamento-dei-denti"", ""/prestazioni/premium-ponte-fisso-su-impianti"", ""/prestazioni/protesi-definitiva-ancorata-su-4-impianti""]","[{""id"": ""8a7d6713-04b0-2bcd-8140-861996d13a5a"", ""name"": ""Container Wrapper list detail"", ""isComboClass"": false}]",[],extracted,derived
